timestamp,ax1,ay1,az1,ax2,ay2,az2,gx1,gy1,gz1,gx2,gy2,gz2,relative_angle,delta_gyro_y,label
2025-04-14 15:35:22,-0.07666,-0.403809,-0.929199,-0.425293,-0.484375,-0.83252,35.27832,-4.089355,-2.929688,41.87012,-3.173828,-20.75195,20.54053,-0.915527,1
2025-04-14 15:32:41,-0.159668,0.020508,-0.95459,-0.118164,-0.008301,-1.043945,-1.525879,-7.751465,4.272461,-5.493164,-5.249023,-3.234863,3.464754,-2.502441,1
2025-04-14 15:44:47,-0.406738,-0.257324,-0.859863,-0.146973,0.109375,-1.041504,11.53564,-8.666992,-0.183105,10.62012,-3.967285,-4.211426,27.15627,-4.699707,0
2025-04-14 15:34:27,-0.189453,-0.960938,0.184082,-0.171875,-0.98291,-0.105469,2.075195,1.708984,1.831055,-1.89209,-0.488281,-1.342773,16.72331,2.197266,1
2025-04-14 15:56:28,-0.376465,0.04834,-0.927246,-0.427246,0.482422,-0.851563,-4.089355,-1.464844,5.126953,10.00977,19.71436,7.019043,24.48088,-21.1792,0
2025-04-14 15:52:21,-0.081055,-0.977539,-0.046875,-0.262695,-0.915527,-0.324219,18.55469,-4.516602,3.479004,9.521484,-4.272461,-7.568359,19.48531,-0.244141,0
2025-04-14 15:53:11,-0.182129,0.01416,-0.958008,-0.250977,0.418457,-0.908691,3.234863,2.502441,0.0,2.868652,-0.488281,-2.563477,23.54397,2.990723,0
2025-04-14 15:42:08,-0.191895,-0.547852,-0.797852,-0.124023,-0.275879,-1.014648,48.40088,-32.53174,5.371094,32.71484,5.615234,-9.82666,19.54409,-38.14697,0
2025-04-14 15:56:31,-0.556152,-0.77002,-0.337402,-0.651367,-0.65625,-0.52832,-32.59277,16.23535,18.9209,-32.53174,6.835938,23.80371,13.02303,9.399414,0
2025-04-14 15:32:39,-0.123047,-0.059082,-0.992676,-0.137695,-0.087402,-1.078613,32.34863,15.38086,0.976563,16.23535,-7.324219,-4.943848,1.232894,22.70508,1
2025-04-14 15:53:17,-0.224609,-0.001465,-1.0,-0.59375,0.195801,-0.905762,16.72363,4.455566,2.197266,8.666992,-2.197266,-9.094238,22.9344,6.652832,0
2025-04-14 15:53:12,-0.189941,-0.112793,-0.966309,-0.348633,0.32373,-1.035156,-34.66797,6.652832,7.385254,-29.96826,-0.793457,12.93945,24.20542,7.446289,0
2025-04-14 15:52:22,-0.047363,-0.759766,-0.666504,-0.398438,-0.500977,-0.820313,51.33057,16.90674,-0.488281,41.99219,-11.16943,-15.19775,25.99783,28.07617,0
2025-04-14 15:37:07,-0.243652,-0.791992,-0.496582,-0.47998,-0.802246,-0.327637,36.92627,-13.48877,1.403809,29.66309,-28.68652,-15.86914,17.02704,15.19775,1
